AadK
CitH,yxiQ
CitM,yflO
CitR
CitS,yflR
CitT,yflQ
CitZ,citA2
ClpC,mecB
ClpE,ykvH
ClpP,yvdN
ClpQ,hslV,codW
ClpX
ClpY,hslU,codX
ClsA,ywnE
Cmk,jofC,ypfC
CoaA,yqjS
CoaX,yacB
CodV
CodY
CoiA,yjbF
ComA,srfB,comAA
ComC
ComEA,comD
ComEB,comD
ComEC,comD
ComER,comD,comED
ComFA
ComFB
ComFC
ComGA
ComGB
ComGC
ComGD
ComGE
ComGF
ComGG
ComK
ComN,yrzD
ComP
ComQ
ComS
ComX
ComZ,yjzA
ConE,yddE
CopA,yvgX
CopZ,yvgY
CorA,yqhC,yqxL
CotA,pig
CotB
CotC
CotD
CotE
CotF
CotG
CotH,ywrH
CotI,ytaA
CotJA
CotJB
CotJC
CotM,yneL
CotO,yjbX
CotP,ydfT
CotQ,yvdP
CotR,yvdO
CotS
CotSA,ytxN,ytbA
CotT
CotU,ynzH
CotV
CotW
CotX
CotY
CotZ
CoxA,yrbB
CpgA,yloQ
Crh,yvcM
CsaA
CsbA
CsbB,yfhN
CsbC,yxcC
CsbD,ywmG
CsbX
CsgA
CshA,ydbR
CshB,yqfR
Csn
CsoR,yvgZ
CspB
CspC
CspD
CspR,ygaR
CsrA,yviG
CssR,yvqA
CssS,yvqB
CstA
CtaA
CtaB
CtaC
CtaD
CtaE
CtaF
CtaG
CtaO,yjdK
Ctc
CtpA,yzbD
CtpB,yvjB
CtsR,yacG
CueR,yhdQ
CwlA
CwlC
CwlD
CwlH,yqeE
CwlJ,ycbQ
CwlK,ycdD
CwlO,yzkA,yvcE
CwlP,yomI
CwlQ,yjbJ
CwlS,yojL
CwlT,yddH
CycB,yvfK
CydA,yxkK
CydB,yxkL
CydC,yxkM
CydD,yxkN
CymR,yrzC
CypA,yrdE
CypC,ybdT
CypX
CysC,ylnC
CysE,cysA
CysH
CysI,yvgR
CysJ,yvgQ
CysK
CysL,ywfK,ipa-89d
CysP,ylnA
CysS,snpA
CzcD,yrdO
CzrA,yozA
DacA
DacB
DacC,pbp
DacF
DapA
DapB
DapF,yutL
DapG,lssD
Dat,yheM
Dck,yaaF
DctB,ydbE
DctP,ydbH,dctA
DctR,ydbG
DctS,ydbF
Ddl,ddlA
DeaD,yxiN
Def,yloK
DegA
DegQ,sacQ
DegR,prtR
DegS,sacU
DegU,sacU,iep
DegV,yviA,sacU
DeoD
DeoR,yxxC
Des,yocE
DesK,yocF
DesR,yocG
DfrA,tmp
Dgk,yaaG
DgkA,yqxF
DgkB,yerQ
DhaS
DhbA,entA
DhbB
DhbC
DhbE,entE
DhbF
DinB
DinG
DisA,yacK
DivIB,dds,tms-12
DivIC
DivIVA,ylmJ
DltA,ipa-5r,dae
DltB,ipa-4r
DltC,ipa-3r
DltD,ipa-2r
DltE,ipa-1r
DnaA,dnaH,dnaJ,dnaK
DnaB
DnaC
DnaD
DnaE
DnaG,dnaE
DnaI,ytxA,dnaY
DnaJ
DnaK
DnaN,dnaG,dnaK
DnaX,dnaH,dna-8132
DppA,dciAA
DppB,dciAB
DppC,dciAC
DppD,dciAD
DppE,dciAE
DprA,smf
Dps,ytkB
Dra
Drm,yqkN
DsdA,yqjR
Dxs,yqiE
Eag,ykvC
EbrA
EbrB
EcsA,prsT,ecs-26,yhaD
EcsB,prsT,yhaC
EcsC,prsT,yhaB
Efp,yqhU,yqgF
Eno
Epr,ipa-15r
EpsA,yveK
EpsB,yveL
EpsC,yveM
EpsD,yveN
EpsE,yveO
EpsF,yveP
EpsG,yveQ
EpsH,yveR
EpsI,yveS
EpsJ,yveT
EpsK,yvfA,yvfB
EpsL,yvfC
EpsM,yvfD
EpsN,yvfE
EpsO,yvfF
Era,bex,yqfH
EtfA
EtfB
ExoA
ExuR,yjmH
ExuT,yjmG
EzrA,ytwP
FabD,ylpE
FabF,yjaY
FabG,ylpF
FabHA,yjaX,fabH1
FabHB,yhfB,fabH2
FabI,yjbW
FabL,yfhR,ygaA
FadA,yusK
FadB,ysiB
FadE,yusJ
FadF,ywjF
FadG,ykuG
FadH,ykuF
FadM,yusM
FadN,yusL
FadR,ysiA
FapR,ylpC
FatR,yrhI,bscR
FbaA,fba,fba1,tsr
Fbp,fdp,yydE
FbpB,ydbN
FdhD,narQ,narAA
Fer,ypbA
FeuA
FeuB
FeuC
Ffh
FhuB
FhuC
FhuD
FhuG
Fin,yabK
FlgB
FlgC
FlgE,flgG
FlgK
FlgL,yviD
FlgM
FlhA
FlhB
FlhF
FlhO,flgG,yvyA
FlhP,yvyB
FliD
FliE
FliF
FliG,flaA15
FliH
FliI
FliJ,cheF
FliK
FliL
FliM
FliP
FliQ
FliR
FliS
FliT
FliW,yviF
FliY,cheD
FliZ
FloT,yuaG,yuaH
Fmt,yloL
Fni,ypgA
Fnr
FolB,folA,yacE
FolC
FolD,yqiA
FolE,mtrA
FolE2,yciA
FolK
FosB,yndN
Frr
FruA
FruC,ydjE
FruK,fruB
FruR
FtsA,spoIIN
FtsE
FtsH
FtsL,ylxB,yllD
FtsW,ylaO
FtsX
FtsY,srb
FtsZ,ts-1
Fur,yqkL
FusA,fus
GabD,ycnH
GabP,nrg-21
GabR,ycnF
GabT,ycnG
GalE
GalK,ipa-35d
GalM,yoxA
GalT,ipa-36d
GamA,ybfT
GamP,ybfS,yzfA
GapA
GapB,ppc
GatA,yerM,yedB
GatB,yerN
GatC,yerL,yedA
GbsA
GbsB
GcaD,tms,tms26
Gcp,ydiE
GcvH,yusH
GcvPA,yqhJ,gcvP
GcvPB,yqhK,gcvP
GcvT,yqhI
Gdh
GerAA
GerAB
GerAC
GerBA
GerBB
GerBC
GerD
GerE
GerKA
GerKB
GerKC
GerM
GerPA,yisH
GerPB,yisG
GerPC,yisF
GerPD,yisE
GerPE,yisD
GerPF,yisC
GerQ,ywdL,ipa-62r
GerR,ylbO
GerT,yozR
GgaA
GgaB
Ggt,pac
GidA
Gin,csfB,yaaM
GlcK,yqgR
GlcP,yhjI
GlcR,ywpI
GlcT,ykwA
GlcU,ycxE
GlgA
GlgB
GlgC
GlgD
GlgP
GlmM,ybbT
GlmS,gcaA,ybxD
GlnA
GlnH
GlnK,ycbA,yzgA
GlnL,ycbB,yzgB
GlnM
GlnP
GlnQ
GlnR
GlnT,ybgH
GlpD
GlpF
GlpK
GlpP
GlpQ,ybeD
GlpT,ybeE
GlpX,ywjI
GlsA,ybgJ
GltA
GltB
GltC
GltP
GltR,yrdL
GltT,yhfG
GltX
GlvR,yfiA,malR
GlyA,glyC,ipc-34d
GlyQ,yqfJ
GlyS,yqfK
Gmk,yloD
GmuA,ydhN
GmuB,ydhM
GmuC,ydhO
GmuD,ydhP
GmuE,ydhR
GmuF,ydhS
GmuG,ydhT
GmuR,ydhQ
GndA,yqjI
GntK
GntP
GntR
GntZ
Gpr
GpsA
GpsB,ypsB
GreA
GroEL
GroES
GrpE
GsaB
GsiB
GspA,ipa-12d,ywaG
GtaB
GtaC,ywcD,ipa-34d
GuaA,guaB
GuaB,guaA
GuaC,yumD
GuaD,gde,yknA
GudB,ypcA
GutB
GutP,ydjD
GutR
GyrA,nalA
GyrB,novA
Hag
Hbs,dbpA
HelD,yvgS
HemA
HemAT,yhfV
HemB
HemC
HemD
HemE
HemH,hemF
HemL,hemK
HemN,yqeR
HemQ,ipa-87r,ywfI
HemX
HemY,hemG
HemZ,yhaW,yhaV
HepS,gerCA,hepA
HepT,gerCC,hepB,gerC58
Hfq,ymaH
HisA
HisB
HisC,aroJ
HisD
HisF
HisG
HisH
HisI,hisIE
HisJ,ytvP
HisS
HisZ
Hit,yhaE
Hmp,ykiA
HolA,yqeN
HolB,yaaS
Hom
HprK,ptsK,yvoB
HprT
HrcA,yqxE,yqeS
HtpG,yxbB
HtrA,ykdA
HtrB,yvtA,yvtB
HutG
HutH
HutI
HutM
HutP,hutP1
HutU
HxlA,yckG
HxlB,yckF
HxlR,yckH
Icd,citC
IleS
IlvA
IlvB
IlvC
IlvD
IlvH,ilvN
ImmA,ydcM
ImmR,ydcN
InfA
InfB
InfC
Int,ydcL
IolA,mmsA,yxdA
IolB,yxdB
IolC,yxdC
IolD,yxdD
IolE,yxdE
IolF,yxdF
IolG,idh,iol
IolH,yxdG
IolI,yxdH
IolJ,fbaB,yxdI
IolR
IolS,yxbF
IolT,ydjK
IolW
IolX,yuxD,yucG,yisS
Ipi
IseA,yoeB
IspA
IspC,yluB,dxr
IspD,yacM
IspE,yabH
IspF,yacN
IspG,yqfY
IspH,yqfP
Jag
KamA,yodO
KapB
KapD,yugB
KatA,kat-19
KatE,katB
KatX,yxlI
KbaA,ybxC,ybaM
Kbl
KdgA
KdgK
KdgR
KdgT
KduD
KduI
KinA,spoIIF,spoIIJ,gsiC,scoB,scoD
KinB
KinC,ssb
KinD,ykvD
KinE,ykrQ
KipA
KipI,ycsJ
KipR,ycsO
KsgA
KtrA,yuaA
KtrB,yubG
KtrC,ylxV,yzaC,ykqB
KtrD,ykrM
LacA,yvfN
LacR,yvfJ
LcfA
LcfB,yhfL
LctP,ycgC
Ldh,lctE
Ldt,ykuD
LepA,yqxB,yqeQ
LeuA
LeuB,leuC
LeuC
LeuD
LeuS
LevB,yveB
LevD
LevE
LevF
LevG
LevR
LexA,dinR
Lgt,gerF,yvoC
LiaF,yvqF
LiaG,yvqG
LiaH,yvqH
LiaI,yvqI
LiaR,yvqC
LiaS,yvqE
LicA,celC
LicB,celA
LicC,celB
LicH,celD,celF
LicR,celR
LicT
LigA,lig,yerG
LigB,yoqV
Lip,lipA
LipA,yutB
LipB,yfiP
LipC,ycsK
LipM,yqhM
LmrA,lin-2,yccB
LmrB,yccA
LonA,lon
LonB,ysxF
LpdV,yqiV,bkd
LplA
LplB
LplC
LplD
LrpA,yddO
LrpB,yddP
LrpC,ydaI
LspA,lsp
LtaS,yflE
LutA,yvfV
LutB,yvfW
LutC,yvbY
LutP,yvfH
LutR,yvfI
LuxS,ytjB
LysA
LysC,ask,aecA
LysS
LytA,lppX
LytB,cwbA
LytC,cwlB
LytD,cwlG
LytE,papQ,cwlF
LytF,cwlE,yhdD
LytG,yubE
LytH,yunA,yutA
LytR
LytS
LytT
Maa,yyaI
MaeA,ywkA
MaeN,yufR
Maf
MalA,glvG,glvA
MalK,yufL
MalL,yvdL
MalP,glvC
MalR,yufM
MalS
ManA,yjdE
ManP,yjdD
ManR,yjdC
Map,mapA
Mbl
MccA,yrhA
MccB,yrhB
McpA
McpB
McpC,prg71
McsA,yacH
McsB,yacI
Mdh,citH
Mdr,ycgD,bmr3
MdtP,yusP
MdtR,yusO
MdxE,yvdG
MdxF,yvdH
MdxG,yvdI
MecA
Med,yjaW
MelA
MenA,ywaB,ipa-6d
MenB
MenC,ytfD
MenD
MenE
MenF,icsM,entC
MenH,gerCB,menG
MetA,metB
MetC,yjcJ
MetE,metC
MetI,yjcI
MetK,metE
MetN,yusC
MetP,yusB
MetQ,yusA
MetS
Mfd
MgsA,ypjF,jojF
MgsR,yqgZ
MgtE,ykoK
MhqA,ykcA
MhqD,yodD
MhqE,yodE
MhqN,ydfN
MhqO,ydfO
MhqP,ydfP
MhqR,ykvE
MiaA
MifM,yqzJ
MinC
MinD,divIVB1
MinJ,yvjD,swrAB
MleA,yqkJ
MleN,yqkI
MlpA,ymxG
MmgA,yqiL
MmgB,yqiM
MmgC,yqiN
MmgD,yqiO,prpC
MmgE,yqiP,prpD
Mmr
MnaA,yvyH
MntA,ytgA
MntB,ytgB
MntC,ytgC
MntD,ytgD
MntH,ydaR
MntR,yqhN
MoaA,narA,narAB
MoaB
MoaD
MoaE
MobA
MobB
MoeA
MoeB
MotA,mot
MotB,mot
MotP,ytxD
MotS,ytxE
Mpr
MprF,yfiW,yfiX
MraW,yllC,ylxA
MraY
MraZ,yllB
MreB,divIVB
MreBH
MreC
MreD,rodB
MrgA
MrnC,yazC
MrpA,yufT,shaA,ntrA
MrpB,yufU
MrpD,yufD
MrpE
MrpF,yufC
MrpG,yufB
MscL,ywpC
MsmE
MsmR
MsmX,yxkG
MsrA,yppP
MsrB,yppQ
MstX
Mta,ywnD
MtbP
MtlA
MtlD,mtlB
MtlF
MtlR,ydaA
MtnA,ykrS,mtnS
MtnB,ykrY
MtnD,ykrZ
MtnE,ykrV
MtnK,ykrT
MtnN,yrrU,mtn
MtnU,ykrU
MtnW,ykrW
MtnX,ykrX
MtrB
MurAA,murA
MurAB,murZ,lssF,rev-4
MurB,ylxC
MurC,ytxF
MurD
MurE
MurF,ydbQ
MurG
MurP,ybbF
MurQ,ybbI
MurR,ybbH
MutL
MutM,ytaE
MutS
MutSB,yshD
MutT
MutTA,ytkD
MutY
NadA
NadB
NadC,yrxB
NadD,yqeJ
NadE,outB,tscBGH,gsp-81
NadF,yjbN,ppnK
NadR,yrxA
NagA
NagB
NagP,yflF
NagZ,yzbA,ybbD
Nap
NarG
NarH
NarI
NarJ
NarK
NasA
NasB,nasBA
NasC,narB,nasBB
NasD,nasBC,nirB
NasE,nasBD,nirD
NasF,nasBE
NatA
NatB
NatK,yccG
NatR,yccH
Ndh,yjlD
NdhF,ybxE
Ndk
NdoA,ydcE
NdoAI,ydcD
Nfo,yqfS
NfrA,ywcG,ipa-43d
NhaC,yheL
NhaK,yvgP
NhaX,yheK
NicK,ydcR
NifS,iscS
NifZ,iscSB
Nin,comJ
Noc,yyaA
Nos,yflM
NprB
NprE
NrdE
NrdEB,yosN
NrdF
NrdI,ymaA
NrgA,amtB
NrgB,glnK
NrnA,ytqI
NrnB,yngD
NsrR,yhdE
NtdA,yhjL
NtdB,yhjK
NtdC,yhjJ
NtdR,yhjM
Nth,jooB,ypoB
NucA,comI
NucB
NudF,yqkG
NupC
NupG,yxjA
NusA
NusB,yqhZ
NusG
Obg
OdhA,citK
OdhB,citM
Ogt,dat
OhrA,yklA
OhrB,yzzE,ykzA
OhrR,ykmA
OppA,spo0KA
OppB,spo0KB
OppC,spo0KC
OppD,spo0KD
OppF,spo0KE
OpuAA
OpuAB
OpuAC
OpuBA,proV
OpuBB,proW
OpuBC,proX
OpuBD,proZ
OpuCA,yvbE
OpuCB,yvbD
OpuCC,yvbC
OpuCD,yvbB
OpuD,ytfQ
OpuE,yerK
OxdC,yvrK
OxdD,yoaN
PabA,trpG,trpX
PabB,pab
PabC
PadC,pad,yveH
PadR,yfiO
PaiA
PaiB,yumE
PanB
PanC
PanD
ParC,grlA
ParE,grlB
PatA,uat
PatB
PbpA,yqgF
PbpB
PbpC,ycsM,yzsA
PbpD
PbpE
PbpF,ponA
PbpG,ywhE
PbpH,ykuA
PbpI,yrrR
PbpX
PbuE,ydhL
PbuG,yebB
PbuO,ytiP
PbuX,ypaQ
PckA,ppc
Pcp
PcrA,yerF
PcrB,yerE
PdaA,yfjS
PdaB,ybaN
PdhA,aceA
PdhB
PdhC
PdhD,citL
Pdp
PdxK,ywdB,ipa-52r,thiD
PdxS,yaaD
PdxT,yaaE
Pel
PelB,ppr
PelC,yvpA
PenP
PepF,yjbG
PepT
PerR,ygaG
PfkA,pfk
PgcA,yhxB,gtaC,gtaE
PgcM,yvdM
PgdS,ywtD
Pgi,yugL
Pgk
Pgm,gpmI
PgsA,ymfN
PheA
PheB
PheS
PheT
PhoA,phoAIV
PhoB,phoAIII
PhoD,ycbS
PhoH,yqfE
PhoP
PhoR
PhrA,gsiAB
PhrC
PhrE
PhrF,ywhI
PhrG,yycL
PhrH
PhrI
PhrK
Phy,yodV,yzxA
Pit,ykaB
PksA
PksB
PksC
PksD
PksE
PksF
PksG
PksH
PksI
PksJ,pksK
PksL,pksX,pksA,outG
PksM
PksN,pksP
PksR
PksS
PlsC,yhdO
PlsX,ylpD
PlsY,yneS
Pmi,yvyI
PnbA,estB
PncA,yueJ
PncB,yueK
PnpA,comR
PolA
PolC,mutI,dnaF,dnaP
PolX,yshC
PolY1,yqjH
PolY2,yqjW
PonA
PpaC,yybQ
PpiB,cypBS
Pps
PpsA
PpsB
PpsC
PpsD
PpsE
PrfA
PrfB
PriA,yloJ
PrkA
PrkC,yloP
PrkD,ybdM
ProA
ProB
ProG,ykeA,yzcA
ProH,yoxE
ProI,yqjO
ProJ,yohA
ProS
PrpC,yloO
PrpE,yjbP
Prs
PrsA
PrsW,ypdC
Psd
PspA,ydjF
PssA,pss
PstA,yqgI,yzmD
PstBA,pstB,yqgJ,yzmE
PstBB,pstB,yqgK,yzmF
PstC,yqgH,yzmC
PstS,yqgG,yzmB
Pta,ipa-88d,ywfJ
Ptb,yqiS,bkd
PtkA,ywqD
PtpZ,ywqE
PtsG,ptsX,crr
PtsH
PtsI
PucA,yurF
PucB,yurE
PucC,yurD
PucD,yurC
PucE,yurB
PucF,yurH
PucG,yurG
PucH,yunH
PucI,ywoE
PucJ,yunJ
PucK,yunK
PucL,yunL
PucM,yunM
PucR,yunI
PupG,punA,pnp,yqkO
PurA
PurB
PurC
PurD
PurE
PurF,purB
PurH,purJ
PurK
PurL
PurM
PurN
PurQ
PurR,yabI
PurS,yexA
PurT
PycA,ylaP
Pyk,pykA
PyrAA
PyrAB
PyrB
PyrC
PyrD,pyrDI
PyrE,pyrX
PyrF
PyrG,ctrA
PyrH,smbA
PyrK,pyrDII,ylxD
PyrP
PyrR
QcrA,bfcA,petC
QcrB,bfcB,petB
QcrC,bfcC,petD
QdoI,yxaG
QoxA,ipa-37d
QoxB,ipa-38d
QoxC,ipa-39d
QoxD,ipa-40d
QueA
QueC,ykvJ
QueD,ykvK
QueE,ykvL
QueF,ykvM
RacA,ywkC
RacE,glr
RacX
RadA,sms,yacJ
RadC,ysxA
RapA,gsiAA,spo0L
RapB,spo0P,ywmE
RapC,yclL
RapD,ywpA
RapE,yqcH
RapF,ywhJ
RapG,yycM
RapH,yeeH,yzqA
RapI,yddL
RapJ,ycdE
RapK,yobG
RasP,yluC
RbfA,ymxE,ylxO
RbgA,ylqF
RbsA
RbsB
RbsC
RbsD
RbsK
RbsR
RecA,recE
RecF
RecG,ylpB
RecN
RecO,yqxN,yqfI
RecQ,recS,ypbC
RecR,recM
RecU,recG,prfA,yppB,jopB
RelA
RemA,ylzA
RemB,yaaB
ResA,ypxA
ResB,ypxB
ResC,ypxC
ResD,ypxD
ResE,ypxE
Rex,ydiH
RghR,yvaN
Rho
RibA
RibC
RibD,ribG
RibE,ribB
RibH
RibR,ytnK
RibT,ribD
RibU,ypaA
RimM,ylqE
RipX,ykqM
RluB,ypuL
Rnc,rncS
RnhB,rnh
RnhC,ysgB
RnjA,ykqC
RnjB,ymfA
RnmV,yabF
RnpA
Rnr,yvaJ
Rny,ymdA
Rnz,yqjK
RocA,ipa-76d
RocB,ipa-77d
RocC,ipa-78d
RocD
RocE
RocF
RocG
RocR
RodA,ywcF,ipa-42d
RodZ,ymfM
Rok,ykuW
Rpe,yloR
Rph
RplA
RplB
RplC
RplD
RplE
RplF
RplI
RplJ
RplK,relC,tsp
RplL
RplM
RplN
RplO
RplP
RplQ
RplR
RplS
RplT
RplU
RplV
RplW
RplX
RpmA
RpmB,yloT
RpmC
RpmD
RpmE
RpmF
RpmGA
RpmGB,rpmG
RpmH
RpmI
RpmJ,rpmX
RpoA
RpoB
RpoC
RpoE
RpsB
RpsC
RpsD
RpsE
RpsF
RpsG
RpsH
RpsI
RpsJ,tetA
RpsK
RpsL,strA,fun
RpsM
RpsN
RpsO
RpsP
RpsQ
RpsR
RpsS
RpsT,yqeO
RpsU,yqeX
RsbP,yvfP
RsbQ,yvfQ
RsbR,ycxR,rsbRA
RsbRB,ispU,ykoB
RsbRC,yojH
RsbRD,yqhA
RsbS,ycxS
RsbT,ycxT
RsbU
RsbV
RsbW
RsbX
RsfA,ywfN,ipa-92r
RsgI,ykrI
RsiV,yrhM
RsiW,ybbM
RsiX,ypuN
RsmG
Rtp
RtpA,yczA
RuvA
RuvB
SacA,ipa-50d
SacB
SacC
SacP,ipa-49d
SacT,ipa-47d
SacX,ipa-14r,sacS
SacY,ipa-13r,sacS
SafA,yrbA
SalA,ybaL
SapB
Sat,ylnB
SbcC,yirY
SbcD,yixA
SbcE,yhaN
SboA,sbo
SboX
Sbp
Sco
ScoA,yxjD
ScoB,yxjE
ScoC,hpr,catA
ScpA,ypuG
ScpB,ypuH
Sda
SdaAA,ylpA,sdaA
SdaAB,yloW,sdaA
SdhA,citF
SdhB
SdhC
SdpA,yvaW
SdpB,yvaX
SdpC,yvaY
SdpI,yvaZ
SdpR,yvbA
SeaA,yphB
SecA,div,div-341,ts-341
SecDF,secF,secD
SecE
SecG,yvaL
SecY
SenS
SepF,ylmF
SerA
SerC,yhaF
SerS
SftA,ytpS,cdtA
SigA,rpoD,crsA
SigB,rpoF
SigD,flaB
SigE,spoIIGB
SigF,spoIIAC
SigG,spoIIIG
SigH,spo0H
SigI,ykoZ
SigL
SigM,yhdM
SigV
SigW,ybbL
SigX,ypuM
SigY,yxlB
SigZ
SinI
SinR,sin,flaD
SipS
SipT
SipU,ycsB
SipV,yhjF
SipW,yqhE
SirA,yneE,yoxF
SkfA,ybcO
SkfB,ybcP,ybcQ
SkfC,ybcS
SkfD,ybcT
SkfE,ybdA
SkfF,ybdB
SkfG,ybdD
SkfH,ybdE
SknR,yqaE
SleB,ypeA
Slp,pal
SlrA
SlrR,yveJ,slr
Smc,ylqA
SmiA,yvzG
SmpB,yvaI
SodA,yqgD
SodF
Soj,spo0JA
SpeA,cad
SpeB,ywhG
SpeD,ytcF
SpeE,ywhF
SplA,ykxI
SplB,spl
SpmA,ypuJ
SpmB,ypuK
Spo0A,spo0C,spo0G,spoIIL,sof-1
Spo0B,spo0D
Spo0E
Spo0F
Spo0J,spo0JB
Spo0M,ygaI
SpoIIAA
SpoIIAB
SpoIIB
SpoIID,spoIIC
SpoIIE,spoIIH,spoIIK
SpoIIGA
SpoIIIAA
SpoIIIAB
SpoIIIAC
SpoIIIAD
SpoIIIAE
SpoIIIAF
SpoIIIAG
SpoIIIAH
SpoIIIC,sigK,spoIVD,spoIVE
SpoIIID
SpoIIIE
SpoIIIJ,spo0J87
SpoIIM
SpoIIP
SpoIIQ,ywnI
SpoIIR,ipc-27d,csfX
SpoIISA,ykaC
SpoIISB
SpoIVA,spoVP
SpoIVB
SpoIVCA,cisA
SpoIVCB,cisB,sigK
SpoIVFA,bofB,spoVL
SpoIVFB
SpoVAA
SpoVAB
SpoVAC
SpoVAD
SpoVAEA
SpoVAEB
SpoVAF
SpoVB,spoIIIF
SpoVC,pth
SpoVD
SpoVE
SpoVFA,dpaA
SpoVFB,dpaB
SpoVG
SpoVID
SpoVIF,yjcC
SpoVK,spoVJ
SpoVM
SpoVR
SpoVS
SpoVT,yabL
SppA,yteI
SpsA,ipa-63d
SpsB,ipa-64d
SpsC,ipa-65d
SpsD,ipa-66d
SpsE,ipa-67d
SpsF,ipa-68d
SpsG,ipa-69d,spsH
SpsI,ipa-71d
SpsJ,ipa-72d
SpsK,ipa-73d
SpsL,ipa-73d
Spx,yjbD
SqhC
Sr1,ykzW
SrfAA,comL
SrfAB,comL
SrfAC,comL
SrfAD,comL
SrtN,yhdZ
SsbA,ssb
SsbB,ywpH
SspA
SspB
SspC
SspD
SspE
SspF
SspG
SspH,yfjU
SspI,ysfA
SspJ
SspK
SspL
SspM
SspN
SspO,cotK
SspP,cotL
SsuA,ygbA,yzeA
SsuB,ygaL
SsuC,ygaM,yzeB
SsuD,ygcA,yzeC
SteT,ykbA
StoA,spoIVH,ykvV
SucC
SucD
SufA
SufB,yurU
SufC,sufC
SufD,yurX
SufS,yurW,csd
SufU,yurV,iscU
Sul
SunA,yolG
SunI,yolF
SunT,yolH
SwrB,ylxL
SwrC,yerP
TagA
TagB
TagC,dinC
TagD
TagE,rodD,gtaA,gtaD
TagF,rodC
TagG
TagH
TagO,yvhI
TasA,cotN,yqhF
TatAC,ynzA
TatAD,yczB
TatAY,ydiI
TatCD,ycbT
